years,tradeDate,close
2011,14-Sep-11,389.3
2011,13-Sep-11,384.62
2011,12-Sep-11,379.94
2011,9-Sep-11,377.48
2011,8-Sep-11,384.14
2011,7-Sep-11,383.93
2011,6-Sep-11,379.74
2011,2-Sep-11,374.05
2011,1-Sep-11,381.03
2011,31-Aug-11,384.83
2011,30-Aug-11,389.99
2011,29-Aug-11,389.97
2011,26-Aug-11,383.58
2011,25-Aug-11,373.72
2011,24-Aug-11,376.18
2011,23-Aug-11,373.6
2011,22-Aug-11,356.44
2011,19-Aug-11,356.03
2011,18-Aug-11,366.05
2011,17-Aug-11,380.44
2011,16-Aug-11,380.48
2011,15-Aug-11,383.41
2011,12-Aug-11,376.99
2011,11-Aug-11,373.7
2011,10-Aug-11,363.69
2011,9-Aug-11,374.01
2011,8-Aug-11,353.21
2011,5-Aug-11,373.62
2011,4-Aug-11,377.37
2011,3-Aug-11,392.57
2011,2-Aug-11,388.91
2011,1-Aug-11,396.75
2011,29-Jul-11,390.48
2011,28-Jul-11,391.82
2011,27-Jul-11,392.59
2011,26-Jul-11,403.41
2011,25-Jul-11,398.5
2011,22-Jul-11,393.3
2011,21-Jul-11,387.29
2011,20-Jul-11,386.9
2011,19-Jul-11,376.85
2011,18-Jul-11,373.8
2011,15-Jul-11,364.92
2011,14-Jul-11,357.77
2011,13-Jul-11,358.02
2011,12-Jul-11,353.75
2011,11-Jul-11,354
2011,8-Jul-11,359.71
2011,7-Jul-11,357.2
2011,6-Jul-11,351.76
2011,5-Jul-11,349.43
2011,1-Jul-11,343.26
2011,30-Jun-11,335.67
2011,29-Jun-11,334.04
2011,28-Jun-11,335.26
2011,27-Jun-11,332.04
2011,24-Jun-11,326.35
2011,23-Jun-11,331.23
2011,22-Jun-11,322.61
2011,21-Jun-11,325.3
2011,20-Jun-11,315.32
2011,17-Jun-11,320.26
2011,16-Jun-11,325.16
2011,15-Jun-11,326.75
2011,14-Jun-11,332.44
2011,13-Jun-11,326.6
2011,10-Jun-11,325.9
2011,9-Jun-11,331.49
2011,8-Jun-11,332.24
2011,7-Jun-11,332.04
2011,6-Jun-11,338.04
2011,3-Jun-11,343.44
2011,2-Jun-11,346.1
2011,1-Jun-11,345.51
2011,31-May-11,347.83
2011,27-May-11,337.41
2011,26-May-11,335
2011,25-May-11,336.78
2011,24-May-11,332.19
2011,23-May-11,334.4
2011,20-May-11,335.22
2011,19-May-11,340.53
2011,18-May-11,339.87
2011,17-May-11,336.14
2011,16-May-11,333.3
2011,13-May-11,340.5
2011,12-May-11,346.57
2011,11-May-11,347.23
2011,10-May-11,349.45
